section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788093366541,-127.5,498.536591,-311.463409,-0.029053,-0.141785,-1.071594,-33.96184361954906,-120.67348741620617
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788098304541,-117.621956,517.378052,-332.134155,-0.065918,-0.090149,-1.197388,-34.96303011276461,-123.2737796933219
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788103242541,-107.987808,538.536621,-345.73172,-0.125305,-0.009277,-1.287842,-35.86435063597415,-126.0843040346885
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788108180541,-98.048782,561.524414,-351.036591,-0.201782,0.084412,-1.357849,-36.67582787594196,-129.08554101206448
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788113118541,-87.439026,585.73175,-349.207336,-0.268921,0.206604,-1.400513,-37.40295916052415,-132.25941055755675
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788118056541,-76.341469,610.548767,-341.768311,-0.354919,0.298096,-1.428223,-38.05585690377842,-135.57960627471817
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788122994541,-64.756096,635.060974,-332.621948,-0.483643,0.328735,-1.408936,-38.63147678303977,-139.03226591164366
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788127932541,-51.829269,657.682922,-326.219513,-0.608215,0.284119,-1.340393,-39.107994778402,-142.5995821417954
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788132870541,-37.804878,678.048767,-325.0,-0.737122,0.214966,-1.255859,-39.44607935440624,-146.2782401011999
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788137808541,-23.719513,695.487793,-328.109772,-0.862305,0.187683,-1.189697,-39.59571018180665,-150.0558988352642
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788142746541,-10.060976,710.060974,-333.23172,-0.960083,0.197876,-1.143921,-39.516580489920955,-153.88696322075015
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788147684541,2.5,722.926819,-338.597565,-1.065125,0.216187,-1.07135,-39.18949995712276,-157.72990436556944
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788152622541,15.365854,733.536621,-342.743896,-1.157471,0.208435,-1.033936,-38.61065478088801,-161.50305241951077
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788157560541,25.914635,742.134155,-343.597565,-1.180176,0.195618,-1.017273,-37.78988645368736,-165.1340384795663
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788162498541,34.939026,749.634155,-345.975616,-1.277588,0.255798,-0.945923,-36.71647284021998,-168.61707970728952
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788167436541,47.012196,753.96344,-349.817078,-1.33783,0.279236,-0.879395,-35.39411108525286,-171.87322628775325
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788172374541,60.487804,756.402466,-355.548798,-1.351868,0.345947,-0.83728,-33.821014325418275,-174.84556962787832
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788177312541,72.621956,758.597595,-362.134155,-1.358765,0.428894,-0.824768,-32.011463427707724,-177.51043024674766
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788182250541,82.804878,760.304871,-365.914642,-1.378357,0.558899,-0.853577,-29.997931224508193,-179.8568160982445
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788187188541,89.634148,761.768311,-363.719513,-1.365295,0.764893,-0.826233,-27.82565615643992,178.0886088949955
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788192126541,94.817078,763.292725,-355.243896,-1.356995,0.913147,-0.820251,-25.555188302917884,176.31342111670438
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788197064541,100.304878,764.329285,-343.902435,-1.356201,1.015991,-0.785095,-23.22402347617492,174.7985350733938
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788202002541,106.890244,765.182922,-332.012207,-1.355469,1.132812,-0.759094,-20.853214826431838,173.5359246551045
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788206940541,113.536591,765.975647,-318.719513,-1.338501,1.255371,-0.772949,-18.469552150704857,172.5203766312194
